site,visit,lat,long,date,num_sponges
244,1,31.5715278,-93.700361,2023-10-20 00:00:00,3.0
245,1,31.6314444,-93.667583,2023-10-20 00:00:00,8.0
246,1,31.5509167,-93.7345,2023-10-20 00:00:00,1.0
247,1,32.53125,-93.8675,2023-10-21 00:00:00,9.0
248,1,32.5341389,-93.87075,2023-10-21 00:00:00,6.0
249,1,32.3976111,-93.435639,2023-10-22 00:00:00,13.0
250,1,30.4721308,-90.9893780555555,2023-11-22 00:00:00,13.0
251,1,30.4728553,-90.9862558333333,2023-11-22 00:00:00,0.0
252,1,31.8369594,-93.2820644444444,2023-12-04 00:00:00,0.0
253,1,31.0775756,-92.01716,2023-12-05 00:00:00,10.0
254,1,31.0494444,-91.9778594444444,2023-12-05 00:00:00,11.0
255,1,30.8369264,-91.6178491666666,2023-12-05 00:00:00,8.0
256,1,29.9134842,-90.2745386111111,2024-03-15 00:00:00,1.0
257,1,29.7845439,-90.1121744444444,2024-03-15 00:00:00,2.0
258,1,29.7685289,-90.0821458333333,2024-03-15 00:00:00,4.0
259,1,29.6909858,-90.0961733333333,2024-03-15 00:00:00,0.0
260,1,29.4740389,-89.6974252777777,2024-03-15 00:00:00,0.0
261,1,30.7411867,-90.7107725,2024-03-16 00:00:00,9.0
262,1,30.9823581,-91.3623816666666,2024-03-16 00:00:00,15.0
263,1,30.2470278,-93.2327222222222,2024-05-17 00:00:00,0.0
264,1,30.1043333,-93.3055,2024-05-17 00:00:00,0.0
265,1,29.9881944,-93.2693888888888,2024-05-17 00:00:00,0.0
266,1,31.949778,-93.286833,2024-05-18 00:00:00,12.0
266,2,31.949778,-93.286833,2025-05-13 00:00:00,8.0
267,1,32.929694,-93.990778,2024-05-18 00:00:00,0.0
268,1,32.892944,-93.818361,2024-05-18 00:00:00,0.0
269,1,32.916389,-93.722917,2024-05-18 00:00:00,22.0
269,2,32.916389,-93.722917,2024-09-26 00:00:00,19.0
269,3,32.916389,-93.722917,2025-05-13 00:00:00,19.0
270,1,32.923389,-93.703972,2024-05-18 00:00:00,10.0
270,2,32.923389,-93.703972,2024-09-26 00:00:00,8.0
270,3,32.923389,-93.703972,2025-05-13 00:00:00,12.0
271,1,32.831056,-93.493417,2024-05-18 00:00:00,8.0
272,1,32.060861,-91.949139,2024-05-19 00:00:00,1.0
273,1,30.348556,-90.985444,2024-06-20 00:00:00,1.0
274,1,30.347417,-91.078056,2024-06-20 00:00:00,0.0
275,1,30.20338,-91.06075,2024-06-20 00:00:00,3.0
276,1,30.396222,-91.117306,2024-06-20 00:00:00,2.0
277,1,29.9231,-90.1322,2024-06-21 00:00:00,0.0
278,1,29.990944,-89.94175,2024-06-21 00:00:00,1.0
278,2,29.990944,-89.94175,2024-08-28 00:00:00,2.0
279,1,30.294472,-89.818083,2024-06-21 00:00:00,9.0
280,1,30.774111,-90.181417,2024-06-22 00:00:00,10.0
282,1,32.4457555550867,-93.6645892071234,2024-09-25 00:00:00,0.0
283,1,32.4712759413992,-93.7109606104628,2024-09-25 00:00:00,0.0
284,1,32.6526639587509,-93.653624124078,2024-09-26 00:00:00,0.0
285,1,32.6710277029975,-93.6759172671139,2024-09-26 00:00:00,11.0
286,1,32.7075197011566,-93.686949228379,2024-09-26 00:00:00,12.0
287,1,32.8770984105424,-93.6909332054494,2024-09-26 00:00:00,0.0
288,1,32.9263591235514,-93.7028656932413,2024-09-26 00:00:00,15.0
289,1,32.924949996208,-93.6815762901762,2024-09-26 00:00:00,0.0
290,1,30.1900731733639,-92.5889982117956,2024-10-23 00:00:00,0.0
291,1,30.0704722,-92.8797222,2024-10-23 00:00:00,0.0
292,1,29.8680194224361,-93.0798617455228,2024-10-23 00:00:00,2.0
293,1,30.3432607192185,-91.7882206461729,2024-10-23 00:00:00,5.0
294,1,30.2705757360196,-91.7046660197779,2024-10-24 00:00:00,14.0
295,1,30.0569354036049,-91.7404636779995,2024-10-24 00:00:00,8.0
296,1,29.7735596359206,-91.7782650186488,2024-10-24 00:00:00,2.0
297,1,29.7347773848001,-91.8526533650989,2024-10-24 00:00:00,0.0
298,1,31.6089850235346,-92.0249828310593,2024-11-09 00:00:00,0.0
299,1,31.2145325063145,-92.1273465434384,2024-11-09 00:00:00,6.0
300,1,31.0738255244301,-91.7926608228631,2024-11-09 00:00:00,14.0
301,1,31.1112624538552,-92.4809555213235,2024-12-17 00:00:00,11.0
301,2,31.1112624538552,-92.4809555213235,2025-05-07 00:00:00,4.0
302,1,31.2636416463451,-92.6307599580542,2025-12-17 00:00:00,2.0
302,2,31.2636416463451,-92.6307599580542,2025-05-07 00:00:00,2.0
303,1,31.5233475570626,-92.2996330925828,2024-12-17 00:00:00,6.0
303,2,31.5233475570626,-92.2996330925828,2025-05-16 00:00:00,4.0
304,1,30.0566045255878,-90.3702120165257,"Friday, Feburary 7, 2025",3.0
305,1,30.2794746709044,-90.3998640771244,"Friday, Feburary 7, 2025",0.0
306,1,30.3430223437171,-90.046702912356,2025-03-29 00:00:00,0.0
307,1,30.5220275127889,-90.6907856942934,2025-03-30 00:00:00,0.0
308,1,30.5608154898656,-90.6598082102673,2025-03-30 00:00:00,0.0
309,1,30.6386394317254,-90.478075428469,2025-03-30 00:00:00,2.0
310,1,30.6923797413532,-90.623878362644,2025-03-30 00:00:00,8.0
311,1,30.7509176026731,-90.6325559823379,2025-03-30 00:00:00,3.0
312,1,29.9117331710337,-90.728468567501,2025-05-02 00:00:00,6.0
313,1,29.908442108949,-90.7308604001678,2025-05-02 00:00:00,11.0
314,1,29.6917214574391,-90.9745637458338,2025-05-02 00:00:00,2.0
315,1,31.2431759294555,-92.6830584280876,2025-05-05 00:00:00,3.0
316,1,32.6705819784374,-93.308309138848,2025-05-13 00:00:00,12.0
317,1,32.2413718439508,-92.8802543548385,2025-05-15 00:00:00,0.0
318,1,31.1826563692439,-92.2935167839425,2025-05-15 00:00:00,0.0
319,1,31.0316322822491,-92.1242327592485,2025-05-16 00:00:00,12.0
